catalog	schema	table	column	type	nullable	length	remarks
MFGPROD	PUB	_ActAILog	_AiLog-Id	bigint	0	19	
MFGPROD	PUB	_ActAILog	_AiLog-TotWrites	bigint	0	19	
MFGPROD	PUB	_ActAILog	_AiLog-AIWWrites	bigint	0	19	
MFGPROD	PUB	_ActAILog	_AiLog-RecWriten	bigint	0	19	
MFGPROD	PUB	_ActAILog	_AiLog-BytesWritn	bigint	0	19	
MFGPROD	PUB	_ActAILog	_AiLog-BBuffWaits	bigint	0	19	
MFGPROD	PUB	_ActAILog	_AiLog-NoBufAvail	bigint	0	19	
MFGPROD	PUB	_ActAILog	_AiLog-PartialWrt	bigint	0	19	
MFGPROD	PUB	_ActAILog	_AiLog-ForceWaits	bigint	0	19	
MFGPROD	PUB	_ActAILog	_AiLog-Trans	bigint	0	19	
MFGPROD	PUB	_ActAILog	_AiLog-UpTime	integer	0	10	
MFGPROD	PUB	_ActAILog	_AiLog-Misc	integer	0	10	
MFGPROD	PUB	_ActBILog	_BiLog-Id	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-TotalWrts	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-BIWWrites	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-RecWriten	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-BytesWrtn	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-TotReads	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-RecRead	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-BytesRead	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-ClstrClose	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-BBuffWaits	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-EBuffWaits	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-ForceWaits	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-ForceWrts	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-PartialWrts	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-Trans	bigint	0	19	
MFGPROD	PUB	_ActBILog	_BiLog-UpTime	integer	0	10	
MFGPROD	PUB	_ActBILog	_BiLog-Misc	integer	0	10	
MFGPROD	PUB	_ActBuffer	_Buffer-Id	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-LogicRds	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-LogicWrts	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-OSRds	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-OSWrts	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-Chkpts	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-Marked	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-Flushed	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-Deferred	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-LRUSkips	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-LRUWrts	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-APWEnq	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-Trans	bigint	0	19	
MFGPROD	PUB	_ActBuffer	_Buffer-UpTime	integer	0	10	
MFGPROD	PUB	_ActBuffer	_Buffer-Misc	integer	0	10	
MFGPROD	PUB	_ActIndex	_Index-Id	bigint	0	19	
MFGPROD	PUB	_ActIndex	_Index-Find	bigint	0	19	
MFGPROD	PUB	_ActIndex	_Index-Create	bigint	0	19	
MFGPROD	PUB	_ActIndex	_Index-Delete	bigint	0	19	
MFGPROD	PUB	_ActIndex	_Index-Remove	bigint	0	19	
